BuildTime;SearchTime;Nthreads;data_type;points_found
2.99129;2.36205;1;d;35790
3.21256;2.5329;2;d;35790
3.56493;1.10242;4;d;35790
7.69299;1.46021;8;d;35790
15.0342;1.26214;16;d;35790
38.7744;2.49096;32;d;35790
1.27583;1.29621;1;f;211730
1.37647;1.28489;2;f;211730
1.55621;0.748299;4;f;211730
4.8942;0.852287;8;f;211730
11.7493;1.04271;16;f;211730
14.7423;1.40541;32;f;211730
0.000102997;0.000690937;1;1000;21
0.000773907;0.000633001;2;1000;21
0.000503063;0.00217891;4;1000;21
0.0201249;0.0236671;8;1000;21
0.126072;0.138604;16;1000;21
0.24951;0.352498;32;1000;21
0.00108504;0.00848794;1;10000;124
0.00256205;0.00766397;2;10000;124
0.00418615;0.0035429;4;10000;124
0.0669;0.0460389;8;10000;124
0.209054;0.093159;16;10000;124
0.41268;0.343421;32;10000;124
0.00983596;0.102083;1;100000;1164
0.0179031;0.0924718;2;100000;1164
0.027195;0.0437801;4;100000;1164
0.139608;0.166329;8;100000;1164
0.427877;0.296032;16;100000;1164
1.00793;0.941174;32;100000;1164
3.17341;2.40429;1;d;35790
3.06838;2.15652;2;d;35790
3.47879;1.14351;4;d;35790
8.40212;1.7336;8;d;35790
23.1465;1.50911;16;d;35790
43.5384;2.01376;32;d;35790
1.74728;1.64009;1;f;211730
1.79615;1.43998;2;f;211730
2.0134;0.646951;4;f;211730
3.67389;0.670339;8;f;211730
8.54523;0.847818;16;f;211730
19.5221;1.77763;32;f;211730
0.00010705;0.000709772;1;1000;21
0.000810862;0.000674009;2;1000;21
0.000415087;0.00180984;4;1000;21
0.0273881;0.0518241;8;1000;21
0.0418;0.125773;16;1000;21
0.271152;0.353729;32;1000;21
0.00102496;0.0080719;1;10000;124
0.00260496;0.00740099;2;10000;124
0.0039022;0.00338387;4;10000;124
0.095233;0.0556028;8;10000;124
0.205841;0.181184;16;10000;124
0.506707;0.54596;32;10000;124
0.00953197;0.109032;1;100000;1164
0.0318441;0.269458;2;100000;1164
0.0986571;0.125774;4;100000;1164
0.121498;0.125498;8;100000;1164
0.488848;0.23217;16;100000;1164
1.45661;1.01568;32;100000;1164
4.62898;3.62176;1;d;35790
4.03243;2.61425;2;d;35790
4.67636;1.71504;4;d;35790
11.9747;2.36029;8;d;35790
22.588;1.69393;16;d;35790
53.6152;2.01453;32;d;35790
1.66779;1.46843;1;f;211730
1.56072;1.26721;2;f;211730
1.67584;0.587513;4;f;211730
3.71751;0.671834;8;f;211730
9.77577;1.38365;16;f;211730
20.7174;1.57789;32;f;211730
0.000102997;0.000679016;1;1000;21
0.000748158;0.000640869;2;1000;21
0.000383854;0.000483036;4;1000;21
0.0212638;0.0206261;8;1000;21
0.041178;0.092458;16;1000;21
0.351931;0.424516;32;1000;21
0.00115895;0.00888205;1;10000;124
0.00287485;0.00829697;2;10000;124
0.00436783;0.00496387;4;10000;124
0.066191;0.0259311;8;10000;124
0.228434;0.145842;16;10000;124
0.827629;0.387823;32;10000;124
0.012439;0.138804;1;100000;1164
0.0439491;0.15078;2;100000;1164
0.0453951;0.076736;4;100000;1164
0.163166;0.0883369;8;100000;1164
0.460097;0.291019;16;100000;1164
0.978526;0.676514;32;100000;1164
4.49698;3.0119;1;d;35790
3.32298;2.21466;2;d;35790
3.57047;1.27284;4;d;35790
11.2405;2.20979;8;d;35790
30.6593;2.41103;16;d;35790
58.6828;2.8466;32;d;35790
2.00516;1.75407;1;f;211730
2.00482;1.52703;2;f;211730
1.99833;1.02117;4;f;211730
3.95097;0.688072;8;f;211730
9.02715;0.949476;16;f;211730
25.4612;1.55127;32;f;211730
0.000113964;0.000735998;1;1000;21
0.000790834;0.000672102;2;1000;21
0.000405073;0.000388861;4;1000;21
0.0177178;0.0281;8;1000;21
0.106738;0.141738;16;1000;21
0.255248;0.397188;32;1000;21
0.00114393;0.00884199;1;10000;124
0.00281501;0.00785613;2;10000;124
0.00447583;0.00482917;4;10000;124
0.0672679;0.0452662;8;10000;124
0.301129;0.21254;16;10000;124
0.812675;0.422488;32;10000;124
0.0106061;0.1149;1;100000;1164
0.0195301;0.103456;2;100000;1164
0.037569;0.078377;4;100000;1164
0.188635;0.0892901;8;100000;1164
0.591104;0.287105;16;100000;1164
1.32065;1.08795;32;100000;1164
5.10472;1.66572;3;d;35790
11.3653;1.96754;7;d;35790
23.1292;1.62145;15;d;35790
46.4837;2.23183;31;d;35790
1.91589;0.662647;3;f;211730
3.9873;0.713171;7;f;211730
9.46444;1.10171;15;f;211730
18.0847;1.93858;31;f;211730
0.000329018;0.000332117;3;1000;21
0.0512199;0.0236762;7;1000;21
0.079941;0.114172;15;1000;21
0.238057;0.392367;31;1000;21
0.00370288;0.00377083;3;10000;124
0.060755;0.0301559;7;10000;124
0.27098;0.086555;15;10000;124
0.708157;0.378044;31;10000;124
0.0289819;0.0490808;3;100000;1164
0.098;0.0651779;7;100000;1164
0.351203;0.1875;15;100000;1164
0.978137;0.679763;31;100000;1164
4.54289;1.56338;3;d;35790
12.3826;2.20045;7;d;35790
25.2265;1.58742;15;d;35790
51.8958;2.85798;31;d;35790
2.28066;0.749957;3;f;211730
6.02113;0.98;7;f;211730
11.5854;1.69581;15;f;211730
22.6267;1.80749;31;f;211730
0.000343084;0.000310898;3;1000;21
0.0201309;0.032239;7;1000;21
0.0763121;0.082499;15;1000;21
0.251204;0.373414;31;1000;21
0.00333714;0.00334191;3;10000;124
0.0370059;0.00613308;7;10000;124
0.249992;0.129388;15;10000;124
0.593008;0.348134;31;10000;124
0.0278652;0.0473578;3;100000;1164
0.0793259;0.059962;7;100000;1164
0.399889;0.231925;15;100000;1164
1.30819;0.530762;31;100000;1164
4.72698;1.51669;3;d;35790
9.12535;1.36437;7;d;35790
19.874;1.75784;15;d;35790
52.5789;2.08442;31;d;35790
1.93496;0.677494;3;f;211730
3.70314;0.637681;7;f;211730
7.88779;0.933511;15;f;211730
21.7357;2.26708;31;f;211730
0.000410795;0.000535011;3;1000;21
0.0253019;0.0240881;7;1000;21
0.082834;0.0914931;15;1000;21
0.481014;0.489343;31;1000;21
