BuildTime;SearchTime;Nthreads;data_type;points_found
7.04925;1.60409;8;d;22022
6.37577;3.30955;4;d;22022
5.39631;6.93294;1;d;35790
5.77683;6.90771;2;d;35790
0.000339031;0.00180817;1;1000;16
0.00260496;0.0197639;1;10000;129
0.0247571;0.240171;1;100000;1172
2.31557;2.99299;1;f;211730
7.39813;0.79947;16;d;22022
2.5327;2.93484;2;f;211730
2.07301;2.931;1;f;211730
0.000337839;0.00182199;1;1000;16
2.54323;1.56046;4;f;211730
0.000563145;0.00178099;2;1000;16
0.00260091;0.019331;1;10000;129
0.0240932;0.23617;1;100000;1172
0.00101781;0.00107908;4;1000;16
0.00412011;0.0191319;2;10000;129
5.33872;7.03419;1;d;35790
7.38205;0.394865;32;d;22022
2.87876;0.346286;16;f;211728
2.77904;0.671996;8;f;211730
2.05262;2.78303;1;f;211730
0.00137711;0.000618935;8;1000;11
0.000235796;0.00142813;1;1000;16
0.0017519;0.000476122;16;1000;17
0.00750208;0.0100939;4;10000;129
0.00244498;0.018249;1;10000;129
5.17336;6.5849;1;d;35790
0.0230269;0.222285;1;100000;1172
0.04597;0.250104;2;100000;1172
0.0793021;0.113116;4;100000;1172
2.89435;0.192972;32;f;209057
0.00269485;0.000473976;32;1000;17
2.25;2.86786;1;f;211730
0.010042;0.00667119;8;10000;129
0.000233173;0.00142884;1;1000;16
0.00245309;0.0182209;1;10000;129
0.011375;0.00346398;16;10000;129
0.0229421;0.222772;1;100000;1172
0.0179069;0.00277901;32;10000;130
5.22733;6.56892;1;d;35790
0.0889421;0.070519;8;100000;1172
0.105496;0.0323319;16;100000;1172
5.49887;6.50288;2;d;35790
2.18512;2.84535;2;f;211730
6.16865;3.14543;4;d;22022
7.21974;1.80227;8;d;22022
7.49296;0.771471;16;d;22022
0.000535011;0.00167799;2;1000;16
2.57557;1.33462;4;f;211730
2.73823;0.64239;8;f;211730
0.000779867;0.000867128;4;1000;16
0.00085187;0.000519037;8;1000;16
0.00175118;0.000622988;16;1000;17
2.92247;0.371129;16;f;211728
0.00793099;0.014622;4;10000;129
0.00437999;0.0178421;2;10000;129
0.00999618;0.00537491;8;10000;129
0.0149088;0.00538802;16;10000;129
0.062623;0.111095;4;100000;1172
0.0353661;0.220507;2;100000;1172
0.097141;0.0503311;8;100000;1172
0.093848;0.0400908;16;100000;1172
6.18879;3.53288;4;d;22022
6.83145;1.61068;8;d;22022
5.58327;7.04245;2;d;35790
7.2051;0.757378;16;d;22022
2.46358;1.33401;4;f;211730
2.45558;2.78447;2;f;211730
2.65883;0.71122;8;f;211730
0.000424862;0.00144005;2;1000;16
0.000845909;0.00104094;4;1000;16
2.73882;0.334071;16;f;211728
0.00388384;0.017803;2;10000;129
0.00131702;0.000646114;8;1000;16
0.0108709;0.00662708;8;10000;129
0.0459821;0.237616;2;100000;1172
0.00743985;0.008744;4;10000;129
0.020143;0.000458002;16;1000;17
0.0110919;0.00248003;16;10000;129
0.0724759;0.120015;4;100000;1172
0.118355;0.026629;32;100000;1172
2.37288;3.01179;2;f;211730
0.000583887;0.00180411;2;1000;16
0.0056572;0.0226958;2;10000;129
0.059968;0.260815;2;100000;1172
6.30716;3.31246;4;d;22022
5.69216;7.04826;2;d;35790
7.71101;0.448308;32;d;22022
0.000809193;0.00116491;4;1000;16
0.00701118;0.009552;4;10000;129
2.49358;1.29701;4;f;211730
